"alcohol","annotation_id","annotator","created_at","emotion","id","lead_time","multiple_people","text","updated_at"
"Not_detected",49,"4","2024-05-22T08:54:04.495664Z","Happiness",1,16.844,"No"," Какие вкусные артишоки! Только не говори, что в них я завтрашнего дня на диете.","2024-05-22T08:54:04.495687Z"
"Not_detected",52,"4","2024-05-22T09:07:08.470246Z","Happiness",4,12.948,"Yes"," Привет! Привет, я Сэнди. Сэнди, привет! Входи.","2024-05-22T09:07:08.470275Z"
"Low",53,"4","2024-05-22T09:07:59.570759Z","Anger",5,49.825,"No"," ЭТОЙ ЗВЕРЮГЕ ВХОТ!","2024-05-22T09:07:59.570780Z"
"Not_detected",54,"4","2024-05-22T09:08:11.680788Z","Neutral",6,10.203,"No"," Так ты приветствуешь своих гостей.","2024-05-22T09:08:11.680814Z"
"Not_detected",55,"4","2024-05-22T09:09:07.150407Z","Neutral",7,53.033,"No"," А если бы я явился сюда с девой?","2024-05-22T09:09:07.150426Z"
"Not_detected",56,"4","2024-05-22T09:12:09.010701Z","Neutral",8,179.783,"No"," Вряд ли твоя девушка стала бы писать на мой кофейный стол.","2024-05-22T09:12:09.010725Z"
"Not_detected",57,"4","2024-05-22T09:12:40.138702Z","Neutral",9,29.889,"No"," Слушай, ему самому больше всех было за это стыдно.","2024-05-22T09:12:40.138721Z"
"Not_detected",58,"4","2024-05-22T09:12:49.651102Z","Neutral",10,7.96,"No"," И он едва набрался смелости вернуться сюда.","2024-05-22T09:12:49.651123Z"
"Not_detected",59,"4","2024-05-22T09:13:01.759066Z","Happiness",11,9.868,"No"," Славно ничего не было!","2024-05-22T09:13:01.759089Z"
"Not_detected",60,"4","2024-05-22T09:13:11.583235Z","Fear",12,9.129,"No"," Ладно, ладно.","2024-05-22T09:13:11.583260Z"
"Not_detected",61,"4","2024-05-22T09:13:22.316849Z","Happiness",13,8.617,"No"," Спасибо! Вперед, Марс!","2024-05-22T09:13:22.316878Z"
"Not_detected",63,"4","2024-05-22T09:13:47.121686Z","Anger",15,13.188,"No"," Этот гад опоздал на самолёт","2024-05-22T09:13:47.121706Z"
"Not_detected",64,"4","2024-05-22T09:14:58.390336Z","Fear",16,68.372,"No"," И у тебя взорвалось лицо!","2024-05-22T09:14:58.390365Z"
"Not_detected",65,"4","2024-05-22T09:15:04.938688Z","Anger",17,5.09,"No"," Это жирная блондинистая корова!","2024-05-22T09:15:04.938708Z"
"Not_detected",66,"4","2024-05-22T09:15:12.502487Z","Neutral",18,5.315,"No"," начинает на меня...","2024-05-22T09:15:12.502507Z"
"Not_detected",67,"4","2024-05-22T09:15:19.577067Z","Neutral",19,5.318,"No"," Малана, первая эта...","2024-05-22T09:15:19.577087Z"
"Not_detected",68,"4","2024-05-22T09:15:26.772494Z","Neutral",20,5.145,"No"," как она начала отта...","2024-05-22T09:15:26.772520Z"
"Not_detected",69,"4","2024-05-22T09:15:37.577031Z","Neutral",21,7.978,"No"," Тут подъехало еще три так...","2024-05-22T09:15:37.577049Z"
"Not_detected",70,"4","2024-05-22T09:16:35.990873Z","Surprise",22,53.474,"No"," И только я хотела сесть в машину!","2024-05-22T09:16:35.990893Z"
"Not_detected",71,"4","2024-05-22T09:16:46.224519Z","Anger",23,7.167,"No"," Эта тётка сбила меня с ног!","2024-05-22T09:16:46.224572Z"
